Expense_ID,Date,Department,Category,Sub_Category,Vendor_Name,Planned_Budget,Actual_Spend,Approval_Status
EXP-10050,2024-04-04,Software Engineering,Cloud & Hosting,Jira & Confluence,Docker,72870.92,87436.41,Over-budget Flag
EXP-10051,2025-01-24,IT Support & Operations,Cloud & Hosting,ServiceNow Ticketing,Zoom,59259.3,62908.18,Approved with Variance
EXP-10052,2024-04-09,Cybersecurity,Cloud & Hosting,Okta Identity SSO,Palo Alto Networks,70764.93,86731.41,Over-budget Flag
EXP-10053,2025-01-02,Software Engineering,Cloud & Hosting,Docker Hub,Docker,67637.91,79103.43,Over-budget Flag
EXP-10054,2026-05-17,Software Engineering,Cloud & Hosting,GitHub Enterprise,Docker,46853.0,58527.53,Over-budget Flag
EXP-10055,2024-12-18,Software Engineering,Cloud & Hosting,JetBrains IDEs,Atlassian,69531.2,68855.69,Approved within Budget
EXP-10056,2025-09-10,Cloud & Infrastructure,Cloud & Hosting,Azure Blob Storage,Microsoft,11194.48,12950.62,Over-budget Flag
EXP-10057,2024-09-27,Cloud & Infrastructure,Cloud & Hosting,Data Center Hosting,Google Cloud,18718.8,18920.45,Approved with Variance
EXP-10058,2026-04-06,Data & Analytics,Cloud & Hosting,Power BI Premium Licenses,Microsoft,8165.91,8508.47,Approved with Variance
EXP-10059,2024-02-14,Cybersecurity,Cloud & Hosting,CrowdStrike Endpoints,Palo Alto Networks,27773.12,30578.27,Approved with Variance
EXP-10060,2026-01-17,Software Engineering,Cloud & Hosting,JetBrains IDEs,Docker,32207.41,38631.85,Over-budget Flag
EXP-10061,2025-04-15,Cybersecurity,Cloud & Hosting,CrowdStrike Endpoints,Okta,23994.43,29840.27,Over-budget Flag
EXP-10062,2025-07-03,Data & Analytics,Cloud & Hosting,Snowflake Warehouse,Microsoft,63011.63,72923.95,Over-budget Flag
EXP-10063,2024-05-07,IT Support & Operations,Cloud & Hosting,Zoom Licenses,Dell,29972.73,30485.46,Approved with Variance
EXP-10064,2025-01-22,Data & Analytics,Cloud & Hosting,Fivetran ETL,Databricks,24665.42,25122.79,Approved with Variance
EXP-10065,2024-03-21,Software Engineering,Cloud & Hosting,GitHub Enterprise,Docker,42988.73,49223.51,Approved with Variance
EXP-10066,2025-07-19,IT Support & Operations,Cloud & Hosting,Zoom Licenses,Zoom,14864.7,14054.74,Approved within Budget
EXP-10067,2024-10-27,IT Support & Operations,Cloud & Hosting,Slack Enterprise,Apple,61153.79,54683.09,Approved within Budget
EXP-10068,2026-04-29,Data & Analytics,Cloud & Hosting,Databricks Cluster,Databricks,10218.55,10135.26,Approved within Budget
EXP-10069,2025-10-05,Software Engineering,Cloud & Hosting,GitHub Enterprise,GitHub,74082.09,71481.48,Approved within Budget
EXP-10070,2025-09-25,IT Support & Operations,Cloud & Hosting,Slack Enterprise,Slack,59057.13,57198.2,Approved within Budget
EXP-10071,2026-06-25,Data & Analytics,Cloud & Hosting,Snowflake Warehouse,Microsoft,18910.1,17840.6,Approved within Budget
EXP-10072,2026-06-01,Data & Analytics,Cloud & Hosting,Databricks Cluster,Microsoft,5386.55,4669.26,Approved within Budget
EXP-10073,2025-01-05,Software Engineering,Cloud & Hosting,Jira & Confluence,Docker,62082.3,53213.82,Approved within Budget
EXP-10074,2025-08-14,Data & Analytics,Cloud & Hosting,Snowflake Warehouse,Fivetran,54480.01,67832.46,Over-budget Flag
EXP-10075,2024-07-15,Data & Analytics,Cloud & Hosting,Databricks Cluster,Fivetran,56030.5,57213.26,Approved with Variance
EXP-10076,2025-12-22,Data & Analytics,Cloud & Hosting,Power BI Premium Licenses,Fivetran,58988.92,59208.99,Approved with Variance
EXP-10077,2024-03-12,Cybersecurity,Cloud & Hosting,CrowdStrike Endpoints,Mandiant,10183.13,11424.04,Approved with Variance
EXP-10078,2024-02-16,Cloud & Infrastructure,Cloud & Hosting,GCP Kubernetes,Google Cloud,30092.6,28205.84,Approved within Budget
EXP-10079,2025-11-08,Cybersecurity,Cloud & Hosting,Okta Identity SSO,Mandiant,13110.83,16126.12,Over-budget Flag
EXP-10080,2024-08-21,Data & Analytics,Cloud & Hosting,Power BI Premium Licenses,Fivetran,65417.24,76180.86,Over-budget Flag
EXP-10081,2026-03-02,Cloud & Infrastructure,Cloud & Hosting,Data Center Hosting,Amazon Web Services,48630.87,43075.49,Approved within Budget
EXP-10082,2024-10-23,IT Support & Operations,Cloud & Hosting,Zoom Licenses,Apple,28162.86,28642.54,Approved with Variance
EXP-10083,2024-03-22,Cybersecurity,Cloud & Hosting,Palo Alto Firewalls,CrowdStrike,9449.08,11354.46,Over-budget Flag
EXP-10084,2026-05-25,Cybersecurity,Cloud & Hosting,Palo Alto Firewalls,Palo Alto Networks,26768.76,32869.17,Over-budget Flag
EXP-10085,2024-08-26,Cybersecurity,Cloud & Hosting,CrowdStrike Endpoints,Okta,27762.83,28788.96,Approved with Variance
EXP-10086,2026-06-06,Software Engineering,Cloud & Hosting,Docker Hub,GitHub,56072.43,61419.75,Approved with Variance
EXP-10087,2024-04-13,Data & Analytics,Cloud & Hosting,Snowflake Warehouse,Databricks,49629.02,45500.56,Approved within Budget
EXP-10088,2025-01-24,IT Support & Operations,Cloud & Hosting,Slack Enterprise,Dell,67104.89,83644.06,Over-budget Flag
EXP-10089,2024-10-11,IT Support & Operations,Cloud & Hosting,ServiceNow Ticketing,Zoom,38055.04,35873.29,Approved within Budget
EXP-10090,2025-04-09,IT Support & Operations,Cloud & Hosting,Developer Laptops,ServiceNow,13371.6,16408.19,Over-budget Flag
EXP-10091,2025-10-12,Data & Analytics,Cloud & Hosting,Power BI Premium Licenses,Microsoft,54927.14,60961.36,Approved with Variance
EXP-10092,2026-05-04,Cloud & Infrastructure,Cloud & Hosting,AWS Cloud Compute,Microsoft,58254.95,63678.18,Approved with Variance
EXP-10093,2025-01-08,Cybersecurity,Cloud & Hosting,Okta Identity SSO,Mandiant,44289.4,46728.66,Approved with Variance
EXP-10094,2024-06-15,Data & Analytics,Cloud & Hosting,Databricks Cluster,Snowflake Inc,58967.7,55563.37,Approved within Budget
EXP-10095,2025-01-14,Cybersecurity,Cloud & Hosting,Penetration Testing Audit,CrowdStrike,39565.69,36424.62,Approved within Budget
EXP-10096,2024-12-29,Data & Analytics,Cloud & Hosting,Fivetran ETL,Databricks,41591.3,39020.73,Approved within Budget
EXP-10097,2024-08-02,Cybersecurity,Cloud & Hosting,Okta Identity SSO,Okta,34927.87,32293.45,Approved within Budget
EXP-10098,2025-11-17,Data & Analytics,Cloud & Hosting,Snowflake Warehouse,Snowflake Inc,6779.34,7876.47,Over-budget Flag
EXP-10099,2024-09-30,Cloud & Infrastructure,Cloud & Hosting,Azure Blob Storage,Google Cloud,12552.4,12427.5,Approved within Budget
EXP-10100,2025-12-19,IT Support & Operations,Cloud & Hosting,Slack Enterprise,Slack,7200.04,6286.62,Approved within Budget
EXP-10101,2025-11-30,Cybersecurity,Cloud & Hosting,Okta Identity SSO,Palo Alto Networks,49548.73,61323.54,Over-budget Flag
EXP-10102,2025-10-25,Data & Analytics,Cloud & Hosting,Snowflake Warehouse,Fivetran,27004.92,32500.81,Over-budget Flag
EXP-10103,2024-03-14,Cloud & Infrastructure,Cloud & Hosting,GCP Kubernetes,Amazon Web Services,40599.95,49576.64,Over-budget Flag
EXP-10104,2025-09-15,Cloud & Infrastructure,Cloud & Hosting,GCP Kubernetes,Google Cloud,68529.65,85522.48,Over-budget Flag
EXP-10105,2025-10-12,IT Support & Operations,Cloud & Hosting,Developer Laptops,Dell,22450.46,20644.5,Approved within Budget
EXP-10106,2024-06-24,Data & Analytics,Cloud & Hosting,Databricks Cluster,Databricks,33726.8,34013.37,Approved with Variance
EXP-10107,2025-06-30,Cybersecurity,Cloud & Hosting,Penetration Testing Audit,CrowdStrike,57888.58,66762.63,Over-budget Flag
EXP-10108,2026-01-16,Software Engineering,Cloud & Hosting,Docker Hub,Docker,21015.87,23714.48,Approved with Variance
EXP-10109,2024-09-07,Cloud & Infrastructure,Cloud & Hosting,Data Center Hosting,Microsoft,10388.59,9469.81,Approved within Budget
EXP-10110,2024-06-16,Cloud & Infrastructure,Cloud & Hosting,Data Center Hosting,Microsoft,25282.6,29740.76,Over-budget Flag
EXP-10111,2025-04-18,IT Support & Operations,Cloud & Hosting,Slack Enterprise,Apple,16285.49,15304.72,Approved within Budget
EXP-10112,2025-01-23,Data & Analytics,Cloud & Hosting,Power BI Premium Licenses,Fivetran,70078.84,65840.97,Approved within Budget
EXP-10113,2024-10-03,Software Engineering,Cloud & Hosting,Docker Hub,GitHub,61568.43,65557.43,Approved with Variance
EXP-10114,2025-10-17,Software Engineering,Cloud & Hosting,Docker Hub,Atlassian,49338.26,53639.37,Approved with Variance
EXP-10115,2025-12-05,Software Engineering,Cloud & Hosting,JetBrains IDEs,Atlassian,66002.24,71416.7,Approved with Variance
EXP-10116,2025-07-24,Data & Analytics,Cloud & Hosting,Databricks Cluster,Databricks,61257.05,54310.18,Approved within Budget
EXP-10117,2024-08-12,Cybersecurity,Cloud & Hosting,CrowdStrike Endpoints,Mandiant,18059.9,21689.66,Over-budget Flag
EXP-10118,2025-12-02,Cloud & Infrastructure,Cloud & Hosting,Data Center Hosting,Amazon Web Services,67479.13,64526.24,Approved within Budget
EXP-10119,2024-11-28,Data & Analytics,Cloud & Hosting,Snowflake Warehouse,Microsoft,42753.96,38555.78,Approved within Budget
EXP-10120,2026-05-13,Software Engineering,Cloud & Hosting,Docker Hub,Atlassian,61520.81,74163.29,Over-budget Flag
EXP-10121,2026-02-25,Cloud & Infrastructure,Cloud & Hosting,Azure Blob Storage,Amazon Web Services,67726.39,83456.56,Over-budget Flag
EXP-10122,2026-03-05,Cloud & Infrastructure,Cloud & Hosting,GCP Kubernetes,Amazon Web Services,27260.24,32571.93,Over-budget Flag
EXP-10123,2024-02-27,Software Engineering,Cloud & Hosting,JetBrains IDEs,JetBrains,12703.63,14911.6,Over-budget Flag
EXP-10124,2024-08-22,Software Engineering,Cloud & Hosting,GitHub Enterprise,JetBrains,20955.46,23304.5,Approved with Variance
EXP-10125,2026-04-21,Cloud & Infrastructure,Cloud & Hosting,AWS Cloud Compute,Google Cloud,34897.55,37352.35,Approved with Variance
EXP-10126,2024-02-02,IT Support & Operations,Cloud & Hosting,Slack Enterprise,Zoom,62261.03,55088.23,Approved within Budget
EXP-10127,2026-04-04,Cloud & Infrastructure,Cloud & Hosting,GCP Kubernetes,Amazon Web Services,65251.14,66124.28,Approved with Variance
EXP-10128,2024-11-19,Cybersecurity,Cloud & Hosting,Okta Identity SSO,Okta,5486.65,5481.58,Approved within Budget
EXP-10129,2025-02-14,Cybersecurity,Cloud & Hosting,Penetration Testing Audit,Okta,40752.31,38873.69,Approved within Budget
EXP-10130,2024-10-01,IT Support & Operations,Cloud & Hosting,Zoom Licenses,ServiceNow,34218.77,38987.77,Approved with Variance
EXP-10131,2024-03-08,Data & Analytics,Cloud & Hosting,Power BI Premium Licenses,Databricks,20547.55,21541.03,Approved with Variance
EXP-10132,2024-08-04,Cloud & Infrastructure,Cloud & Hosting,Data Center Hosting,Google Cloud,13390.58,11816.1,Approved within Budget
EXP-10133,2025-08-03,Cybersecurity,Cloud & Hosting,Okta Identity SSO,CrowdStrike,28633.06,26859.91,Approved within Budget
EXP-10134,2026-06-16,Cloud & Infrastructure,Cloud & Hosting,Data Center Hosting,Amazon Web Services,71003.68,79758.68,Approved with Variance
EXP-10135,2026-01-05,IT Support & Operations,Cloud & Hosting,Developer Laptops,Slack,27624.21,24321.8,Approved within Budget
EXP-10136,2024-11-18,Software Engineering,Cloud & Hosting,JetBrains IDEs,GitHub,41315.34,49185.2,Over-budget Flag
EXP-10137,2024-08-05,IT Support & Operations,Cloud & Hosting,Zoom Licenses,ServiceNow,54211.33,56816.65,Approved with Variance
EXP-10138,2025-11-02,IT Support & Operations,Cloud & Hosting,Slack Enterprise,Dell,30454.07,31740.29,Approved with Variance
EXP-10139,2025-05-26,IT Support & Operations,Cloud & Hosting,Developer Laptops,Dell,73024.75,79375.21,Approved with Variance
EXP-10140,2025-02-09,Cybersecurity,Cloud & Hosting,CrowdStrike Endpoints,Palo Alto Networks,72371.31,85388.91,Over-budget Flag
EXP-10141,2026-06-24,IT Support & Operations,Cloud & Hosting,Zoom Licenses,Dell,22624.76,22378.69,Approved within Budget
EXP-10142,2025-10-20,Software Engineering,Cloud & Hosting,JetBrains IDEs,JetBrains,39807.4,44632.31,Approved with Variance
EXP-10143,2025-04-14,Software Engineering,Cloud & Hosting,Jira & Confluence,Atlassian,26061.48,28049.78,Approved with Variance
EXP-10144,2024-05-26,Software Engineering,Cloud & Hosting,GitHub Enterprise,Docker,24938.83,23861.75,Approved within Budget
EXP-10145,2024-09-28,Data & Analytics,Cloud & Hosting,Power BI Premium Licenses,Fivetran,7582.09,9109.52,Over-budget Flag
EXP-10146,2024-05-22,IT Support & Operations,Cloud & Hosting,Zoom Licenses,Dell,47669.5,55724.23,Over-budget Flag
EXP-10147,2024-09-09,Software Engineering,Cloud & Hosting,GitHub Enterprise,JetBrains,40187.53,44744.02,Approved with Variance
EXP-10148,2026-02-01,Data & Analytics,Cloud & Hosting,Power BI Premium Licenses,Fivetran,8603.51,10240.18,Over-budget Flag
EXP-10149,2025-07-28,IT Support & Operations,Cloud & Hosting,Developer Laptops,Slack,24505.25,29330.77,Over-budget Flag
EXP-10150,2025-07-05,IT Support & Operations,Cloud & Hosting,ServiceNow Ticketing,Slack,68578.61,77723.24,Approved with Variance
EXP-10151,2024-09-26,Cloud & Infrastructure,Cloud & Hosting,GCP Kubernetes,Amazon Web Services,21769.33,25792.42,Over-budget Flag
EXP-10152,2026-02-03,IT Support & Operations,Cloud & Hosting,Slack Enterprise,Apple,15142.64,17095.87,Approved with Variance
EXP-10153,2025-08-21,Cloud & Infrastructure,Cloud & Hosting,Data Center Hosting,Microsoft,39261.69,44053.83,Approved with Variance
EXP-10154,2025-03-14,Cybersecurity,Cloud & Hosting,CrowdStrike Endpoints,Okta,73995.53,81205.99,Approved with Variance
EXP-10155,2025-08-20,Cybersecurity,Cloud & Hosting,Palo Alto Firewalls,Okta,21943.87,25259.3,Over-budget Flag
EXP-10156,2025-02-12,Data & Analytics,Cloud & Hosting,Fivetran ETL,Fivetran,52049.49,47544.19,Approved within Budget
EXP-10157,2025-01-05,Cloud & Infrastructure,Cloud & Hosting,GCP Kubernetes,Microsoft,58313.37,70112.98,Over-budget Flag
EXP-10158,2024-08-12,Cybersecurity,Cloud & Hosting,Okta Identity SSO,Okta,21634.63,25934.24,Over-budget Flag
EXP-10159,2024-05-21,Cybersecurity,Cloud & Hosting,Penetration Testing Audit,CrowdStrike,55975.14,48233.72,Approved within Budget
EXP-10160,2025-06-05,Cybersecurity,Cloud & Hosting,CrowdStrike Endpoints,CrowdStrike,30744.82,36288.93,Over-budget Flag
EXP-10161,2025-05-20,IT Support & Operations,Cloud & Hosting,ServiceNow Ticketing,Slack,49261.41,44411.52,Approved within Budget
EXP-10162,2024-04-03,Cloud & Infrastructure,Cloud & Hosting,GCP Kubernetes,Google Cloud,49347.08,48559.87,Approved within Budget
EXP-10163,2026-02-12,Cybersecurity,Cloud & Hosting,Penetration Testing Audit,Okta,42504.23,48769.49,Approved with Variance
EXP-10164,2024-02-18,Cloud & Infrastructure,Cloud & Hosting,GCP Kubernetes,Amazon Web Services,11320.28,10350.18,Approved within Budget
EXP-10165,2026-05-31,Software Engineering,Cloud & Hosting,JetBrains IDEs,Docker,63471.17,74717.42,Over-budget Flag
EXP-10166,2024-04-22,Software Engineering,Cloud & Hosting,Jira & Confluence,Atlassian,27454.6,32474.77,Over-budget Flag
EXP-10167,2024-06-05,IT Support & Operations,Cloud & Hosting,Developer Laptops,Slack,18056.3,19013.05,Approved with Variance
EXP-10168,2025-10-04,Software Engineering,Cloud & Hosting,GitHub Enterprise,Atlassian,7854.26,6696.18,Approved within Budget
EXP-10169,2024-06-12,Data & Analytics,Cloud & Hosting,Power BI Premium Licenses,Fivetran,46362.51,44731.26,Approved within Budget
EXP-10170,2026-03-22,Cloud & Infrastructure,Cloud & Hosting,Data Center Hosting,Microsoft,52429.51,57503.15,Approved with Variance
EXP-10171,2025-11-27,Cybersecurity,Cloud & Hosting,Penetration Testing Audit,Okta,6161.15,7655.07,Over-budget Flag
EXP-10172,2025-03-08,Data & Analytics,Cloud & Hosting,Snowflake Warehouse,Databricks,40846.51,45042.48,Approved with Variance
EXP-10173,2025-09-02,Data & Analytics,Cloud & Hosting,Databricks Cluster,Databricks,20854.7,19893.75,Approved within Budget
EXP-10174,2024-03-06,Software Engineering,Cloud & Hosting,JetBrains IDEs,Atlassian,50162.1,55359.01,Approved with Variance
EXP-10175,2025-01-29,Cloud & Infrastructure,Cloud & Hosting,Data Center Hosting,Google Cloud,17205.65,18341.12,Approved with Variance
EXP-10176,2025-01-25,Cybersecurity,Cloud & Hosting,Palo Alto Firewalls,Mandiant,53365.64,62007.57,Over-budget Flag
EXP-10177,2025-09-02,Data & Analytics,Cloud & Hosting,Databricks Cluster,Databricks,32071.47,28633.16,Approved within Budget
EXP-10178,2025-04-24,IT Support & Operations,Cloud & Hosting,Zoom Licenses,Apple,70571.1,81468.07,Over-budget Flag
EXP-10179,2025-06-25,Cybersecurity,Cloud & Hosting,Palo Alto Firewalls,CrowdStrike,14626.47,15599.23,Approved with Variance
EXP-10180,2024-09-14,Software Engineering,Cloud & Hosting,GitHub Enterprise,GitHub,28874.64,35665.86,Over-budget Flag
EXP-10181,2025-07-20,Cloud & Infrastructure,Cloud & Hosting,Azure Blob Storage,Google Cloud,12943.15,12771.64,Approved within Budget
EXP-10182,2026-05-31,IT Support & Operations,Cloud & Hosting,Developer Laptops,Slack,69728.55,76913.99,Approved with Variance
EXP-10183,2024-01-12,Cybersecurity,Cloud & Hosting,Penetration Testing Audit,CrowdStrike,66413.75,81211.48,Over-budget Flag
EXP-10184,2025-11-27,Cybersecurity,Cloud & Hosting,Palo Alto Firewalls,CrowdStrike,23055.91,20542.91,Approved within Budget
EXP-10185,2026-01-08,Data & Analytics,Cloud & Hosting,Fivetran ETL,Microsoft,51198.88,62713.07,Over-budget Flag
EXP-10186,2024-04-27,Cybersecurity,Cloud & Hosting,CrowdStrike Endpoints,Mandiant,62205.55,69990.84,Approved with Variance
EXP-10187,2025-11-29,Cloud & Infrastructure,Cloud & Hosting,GCP Kubernetes,Microsoft,43864.06,38474.69,Approved within Budget
EXP-10188,2026-06-25,Cloud & Infrastructure,Cloud & Hosting,GCP Kubernetes,Amazon Web Services,42075.54,40829.49,Approved within Budget
EXP-10189,2025-07-03,Cybersecurity,Cloud & Hosting,CrowdStrike Endpoints,Mandiant,21929.66,24852.2,Approved with Variance
EXP-10190,2026-02-07,Data & Analytics,Cloud & Hosting,Databricks Cluster,Microsoft,11517.19,10099.89,Approved within Budget
EXP-10191,2024-09-30,IT Support & Operations,Cloud & Hosting,Slack Enterprise,Dell,67805.1,73423.99,Approved with Variance
EXP-10192,2026-02-26,IT Support & Operations,Cloud & Hosting,ServiceNow Ticketing,ServiceNow,68029.26,67236.94,Approved within Budget
EXP-10193,2025-10-18,Data & Analytics,Cloud & Hosting,Power BI Premium Licenses,Microsoft,49317.1,54168.24,Approved with Variance
EXP-10194,2024-12-14,Software Engineering,Cloud & Hosting,JetBrains IDEs,JetBrains,28732.09,24947.98,Approved within Budget
EXP-10195,2024-04-24,Cloud & Infrastructure,Cloud & Hosting,Azure Blob Storage,Amazon Web Services,29444.67,35292.81,Over-budget Flag
EXP-10196,2024-10-27,Software Engineering,Cloud & Hosting,GitHub Enterprise,JetBrains,55816.9,69179.22,Over-budget Flag
EXP-10197,2025-03-21,Data & Analytics,Cloud & Hosting,Power BI Premium Licenses,Databricks,67797.72,83903.15,Over-budget Flag
EXP-10198,2024-06-10,Software Engineering,Cloud & Hosting,Jira & Confluence,GitHub,67096.05,77151.11,Approved with Variance
EXP-10199,2025-04-09,Data & Analytics,Cloud & Hosting,Power BI Premium Licenses,Databricks,59591.29,53753.4,Approved within Budget
EXP-10200,2024-01-04,IT Support & Operations,Cloud & Hosting,Zoom Licenses,Dell,49942.22,57598.63,Over-budget Flag
EXP-10201,2026-01-09,IT Support & Operations,Cloud & Hosting,Developer Laptops,Apple,10889.8,9363.43,Approved within Budget
EXP-10202,2026-06-15,Software Engineering,Cloud & Hosting,JetBrains IDEs,Docker,16314.01,14011.28,Approved within Budget
EXP-10203,2026-01-06,Software Engineering,Cloud & Hosting,JetBrains IDEs,JetBrains,67898.79,66503.07,Approved within Budget
EXP-10204,2024-09-26,Cloud & Infrastructure,Cloud & Hosting,Data Center Hosting,Google Cloud,47450.03,49606.98,Approved with Variance
EXP-10205,2025-05-27,IT Support & Operations,Cloud & Hosting,ServiceNow Ticketing,Dell,5643.79,6536.43,Over-budget Flag
EXP-10206,2026-02-19,Cloud & Infrastructure,Cloud & Hosting,AWS Cloud Compute,Microsoft,12103.01,13595.53,Approved with Variance
